rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image
346,https://www.afriquesports.net/football/coupe-du-monde-2026-la-fifa-frappe-fort-avec-une-annonce-inattendue-pour-les-equipes-africaines,coupe-du-monde-2026-la-fifa-frappe-fort-avec-une-annonce-inattendue-pour-les-equipes-africaines,fr,football,51,2224,2.29,6.6,863941,Coupe du Monde 2026 : La FIFA frappe fort avec une annonce inattendue pour les équipes africaines !,true,2026-01-02,
347,https://www.afriquesports.net/football/real-madrid-barca-larbitre-du-clasico-designe-et-fait-polemique,real-madrid-barca-larbitre-du-clasico-designe-et-fait-polemique,fr,football,51,2668,1.91,8.5,864738,Real Madrid &#8211; Barça : L&rsquo;arbitre du Clasico désigné et fait polémique !,true,2025-12-31,
348,https://www.afriquesports.net/football/soudan-rdc-la-fifa-rend-sa-decision-officielle,soudan-rdc-la-fifa-rend-sa-decision-officielle,fr,football,51,1541,3.31,8.0,862200,Soudan – RDC : la FIFA rend sa décision officielle,true,2025-12-30,
349,https://www.afriquesports.net/football/terrible-nouvelle-adebayor-annonce-un-deces-le-togo-en-deuil,terrible-nouvelle-adebayor-annonce-un-deces-le-togo-en-deuil,fr,football,51,969,5.26,14.0,858423,"Terrible nouvelle : Adébayor annonce un décès, le Togo en deuil",true,2026-01-02,
351,https://www.afriquesports.net/afrique/terrible-nouvelle-la-caf-annonce-le-deces-de-le-monde-du-football-en-deuil,terrible-nouvelle-la-caf-annonce-le-deces-de-le-monde-du-football-en-deuil,fr,afrique,50,728,6.87,24.8,856283,"Terrible nouvelle, la CAF annonce le décès de…, Le monde du football en deuil",true,2025-12-26,
352,https://www.afriquesports.net/ballon-dor/urgent-le-nom-du-vainqueur-du-ballon-dor-aurait-fuite,urgent-le-nom-du-vainqueur-du-ballon-dor-aurait-fuite,fr,ballon-dor,50,1374,3.64,9.0,860302,Urgent : le nom du vainqueur du Ballon d’Or aurait fuité !,true,2025-12-27,
353,https://www.afriquesports.net/can-2025/en-direct-can-2025-burkina-faso-guinee-equatoriale-groupe-e,en-direct-can-2025-burkina-faso-guinee-equatoriale-groupe-e,fr,can-2025,50,3944,1.27,3.9,871293,EN DIRECT CAN 2025 : Burkina Faso – Guinée Équatoriale (Groupe E),true,2025-12-31,
355,https://www.afriquesports.net/europe/un-jeune-joueur-de-19ans-decede-dans-un-accident-de-la-route,un-jeune-joueur-de-19ans-decede-dans-un-accident-de-la-route,fr,europe,50,1004,4.98,9.4,866028,Un jeune joueur de 19ans décède dans un accident de la route,true,2025-12-28,
356,https://www.afriquesports.net/football/bale-9e-salah-6e-drogba-5e-les-10-meilleurs-numeros-11-de-tous-les-temps-en-football,bale-9e-salah-6e-drogba-5e-les-10-meilleurs-numeros-11-de-tous-les-temps-en-football,fr,football,50,5587,0.89,13.9,574749,"Bale 9é, Salah 6é, Drogba 5é&#8230; les 10 meilleurs numéros 11 de tous les temps en football",true,2026-01-02,
357,https://www.afriquesports.net/football/mondial-2026-rd-congo-senegal-la-fifa-prend-sa-decision-et-frappe-fort,mondial-2026-rd-congo-senegal-la-fifa-prend-sa-decision-et-frappe-fort,fr,football,50,1968,2.54,6.5,862668,Mondial 2026 – RD Congo / Sénégal : la FIFA prend sa décision et frappe fort,true,2026-01-02,
359,https://www.afriquesports.net/football/sebastien-desabre-craque-et-balance-tout-sur-le-cameroun,sebastien-desabre-craque-et-balance-tout-sur-le-cameroun,fr,football,50,3010,1.66,3.3,863570,Sébastien Desabre craque et balance tout sur le Cameroun !,true,2025-12-31,
