rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image
18,https://www.afriquesports.net/classement/le-classement-des-joueurs-de-football-les-plus-diplomes,le-classement-des-joueurs-de-football-les-plus-diplomes,fr,classement,757,8772,8.63,6.7,678345,Le classement des joueurs de football les plus diplômés,true,2026-01-02,
19,https://www.afriquesports.net/allemagne/allemagne-combien-gagne-le-bayern-munich-avec-sa-bundesliga,allemagne-combien-gagne-le-bayern-munich-avec-sa-bundesliga,fr,allemagne,756,6216,12.16,7.8,635779,Allemagne : Combien gagne le Bayern Munich avec sa Bundesliga ?,true,2026-01-01,
20,https://www.afriquesports.net/afrique/rigobert-song-2e-koulibaly-6e-les-10-meilleurs-defenseurs-africains-de-toute-lhistoire,rigobert-song-2e-koulibaly-6e-les-10-meilleurs-defenseurs-africains-de-toute-lhistoire,fr,afrique,752,7456,10.09,7.9,671004,"Rigobert Song 2e, Koulibaly 6e, les 10 meilleurs défenseurs africains de toute l&rsquo;histoire",true,2026-01-02,
21,https://www.afriquesports.net/football/ziyech-une-absence-qui-souleve-des-questions-apres-af-1766831418559,ziyech-une-absence-qui-souleve-des-questions-apres-af-1766831418559,fr,football,685,11112,6.16,4.4,,,,,
22,https://www.afriquesports.net/football/liste-du-senegal-les-deux-casse-tetes-de-pape-thiaw,liste-du-senegal-les-deux-casse-tetes-de-pape-thiaw,fr,football,642,23717,2.71,8.5,868745,Liste du Sénégal : Les deux casse-têtes de Pape Thiaw,true,2026-01-02,
23,https://www.afriquesports.net/football/senegal-le-verdict-est-tombe-pour-assane-diao,senegal-le-verdict-est-tombe-pour-assane-diao,fr,football,618,9701,6.37,7.0,859105,Sénégal : le verdict est tombé pour Assane Diao !,true,2025-12-31,
24,https://www.afriquesports.net/europe/soudan-vs-rdc-la-decision-officielle-de-la-fifa-est-tombee,soudan-vs-rdc-la-decision-officielle-de-la-fifa-est-tombee,fr,europe,608,20548,2.96,7.5,862171,Soudan vs RDC : la décision officielle de la FIFA est tombée,true,2025-12-31,
25,https://www.afriquesports.net/afrique/senegal/coupe-du-monde-2026-la-decision-officielle-de-la-fifa-tombe-pour-le-senegal,coupe-du-monde-2026-la-decision-officielle-de-la-fifa-tombe-pour-le-senegal,fr,afrique,579,3973,14.57,6.4,861373,Coupe du monde 2026 : la décision officielle de la FIFA tombe pour le Sénégal,true,2025-12-25,
26,https://www.afriquesports.net/football/une-footballeuse-du-real-madrid-feminin-avoue-la-verite-sur-sa-relation-avec-vinicius,une-footballeuse-du-real-madrid-feminin-avoue-la-verite-sur-sa-relation-avec-vinicius,fr,football,568,5084,11.17,5.6,537423,Une footballeuse du Real Madrid féminin avoue la vérité sur sa relation avec Vinicius,true,2026-01-02,
27,https://www.afriquesports.net/football/sergio-ramos-5e-roberto-carlos-7e-les-meilleurs-defenseurs-buteurs-de-lhistoire,sergio-ramos-5e-roberto-carlos-7e-les-meilleurs-defenseurs-buteurs-de-lhistoire,fr,football,549,20998,2.61,8.1,403587,"Sergio Ramos 5e, Roberto Carlos 7e, meilleurs défenseurs-buteurs",true,2026-01-01,
28,https://www.afriquesports.net/europe/cody-gakpo-4e-griezmann-2e-les-5-meilleurs-faux-9-du-football-mondial-2022-23,cody-gakpo-4e-griezmann-2e-les-5-meilleurs-faux-9-du-football-mondial-2022-23,fr,europe,547,4821,11.35,8.0,631864,"Cody Gakpo 4é, Griezmann 2é… les 5 meilleurs faux 9 du football mondial (2022-23)",true,2025-12-31,
29,https://www.afriquesports.net/afrique/cote-divoire/ballon-dor-africain-2024-serhou-guirassy-simon-adingra-voici-les-resultats-des-votes-des,ballon-dor-africain-2024-serhou-guirassy-simon-adingra-voici-les-resultats-des-votes-des,fr,afrique,500,26048,1.92,7.5,,,,,
30,https://www.afriquesports.net/afrique/senegal/senegal-la-decision-officielle-est-tombee-pour-assane-diao-et-la-selection,senegal-la-decision-officielle-est-tombee-pour-assane-diao-et-la-selection,fr,afrique,471,3040,15.49,5.7,859118,Sénégal : la décision officielle est tombée pour Assane Diao et la sélection !,true,2025-12-31,
31,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-un-detail-fuite-avant-la-ceremonie-lamine-yamal-au-coeur-des-rumeurs,ballon-dor-2025-un-detail-fuite-avant-la-ceremonie-lamine-yamal-au-coeur-des-rumeurs,fr,ballon-dor,457,5076,9.00,7.7,860506,"Ballon d’Or 2025 : un détail fuite avant la cérémonie, Lamine Yamal au cœur des rumeurs !",true,2025-12-30,
32,https://www.afriquesports.net/classement/rigobert-song-2e-koulibaly-6e-les-10-meilleurs-defenseurs-africains-de-toute-lhistoire,rigobert-song-2e-koulibaly-6e-les-10-meilleurs-defenseurs-africains-de-toute-lhistoire,fr,classement,454,5265,8.62,7.1,671004,"Rigobert Song 2e, Koulibaly 6e, les 10 meilleurs défenseurs africains de toute l&rsquo;histoire",true,2026-01-02,
33,https://www.afriquesports.net/afrique/senegal/voici-la-composition-officielle-du-senegal-pour-le-match-des-eliminatoires-de-la-coupe-du-monde-2026-contre-le-soudan,voici-la-composition-officielle-du-senegal-pour-le-match-des-eliminatoires-de-la-coupe-du-monde-2026-contre-le-soudan,fr,afrique,434,57458,0.76,4.3,858134,Voici la composition officielle du Sénégal pour le match des éliminatoires de la Coupe du Monde 2026 contre le Soudan,true,2025-12-31,
34,https://www.afriquesports.net/can-2025/direct-can-2025-maroc-comores-a-suivre-en-direct,direct-can-2025-maroc-comores-a-suivre-en-direct,fr,can-2025,426,24010,1.77,5.4,870601,DIRECT / CAN 2025 : Maroc -Comores à suivre en direct !,true,2026-01-02,
35,https://www.afriquesports.net/football/zidane-3e-modric-9e-le-classement-des-meilleurs-milieux-de-terrain-au-21e-siecle,zidane-3e-modric-9e-le-classement-des-meilleurs-milieux-de-terrain-au-21e-siecle,fr,football,391,4613,8.48,6.7,,,,,
