rank,url,clicks,post_id
213,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-le-vainqueur-deja-connu-et-le-classement-potentiellement-fuite,83,860406
214,https://www.afriquesports.net/europe/real-madrid-la-composition-contre-lespanyol-fuitee-xabi-alonso-chamboule-tout,83,860169
217,https://www.afriquesports.net/senegal/senegal-botswana-sous-la-pluie-le-geste-dedouard-mendy-fait-le-buzz-a-la-can-photo,82,871222
219,https://www.afriquesports.net/can-2025/en-direct-can-2025-nigeria-vs-tanzanie-groupe-c-suivez-le-match-en-live,81,871184
223,https://www.afriquesports.net/can-2025/coupe-dafrique-des-nations-endeuillee-par-un-drame-bouleversant,80,871036
224,https://www.afriquesports.net/football/le-meilleur-milieu-de-terrain-actuel-de-liga-est-au-real-madrid-une-grosse-surprise,80,837102
225,https://www.afriquesports.net/afrique/habib-beye-dans-la-tourmente-le-terrible-verdict-devoile,79,862930
226,https://www.afriquesports.net/afrique/senegal-vs-mauritanie-pape-thiaw-surprend-avec-3-changements-dans-le-onze,79,863412
227,https://www.afriquesports.net/europe/lamine-yamal-trompe-par-sa-petite-amie-une-star-du-real-madrid-impliquee,79,857915
229,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-le-vainqueur-deja-annonce-enorme-fuite,78,860439
230,https://www.afriquesports.net/football/le-maroc-en-deuil-une-star-decede-dans-un-tragique-accident-de-voiture,78,866982
231,https://www.afriquesports.net/football/tragedie-dans-le-monde-du-foot-deces-accidentel-dune-star-celebre,78,863241
232,https://www.afriquesports.net/can-2025/direct-mali-zambie-duel-crucial-du-groupe-a-a-suivre-en-live,77,870855
233,https://www.afriquesports.net/football/apres-yamal-et-raphinha-un-autre-cadre-se-blesse-et-rate-le-clasico,77,863433
234,https://www.afriquesports.net/football/tragedie-inattendue-dans-le-monde-du-foot-une-grande-star-perd-la-vie-dans-un-tragique-accident,77,863251
235,https://www.afriquesports.net/football/video-lincroyable-frappe-de-federico-valverde-contre-seville-le-but-est-dingue,77,836827
237,https://www.afriquesports.net/football/fc-barcelone-frappe-fort-le-club-tient-son-futur-lamine-yamal,76,863279
239,https://www.afriquesports.net/football/real-madrid-rodrygo-frappe-fort-avec-une-decision-radicale,76,872421
